MIPS;PROVOBIS B;;;;
MODERN TIMES GROUP MTG B;PUSH DEVELOPMENT;;;;
NCAB GROUP;REGNBAGEN FTGH.A;;;;
NCC B;REINHOLD B CONVERTED-504796;;;;
NEW WAVE GROUP B;RENEWABLE EN.IN SWEDEN;;;;
NOLATO B;RESCO 'B';;;;
NORION BANK;RIKSBYGGEN B;;;;
NP3 FASTIGHETER;SAND.& STOHNE B;;;;
NYFOSA;SCAN MINING;;;;
OEM INTERNATIONAL B;SCANCEM 'A';;;;
PANDOX B;SEGERSTROM & SVENS.B;;;;
PARADOX INTERACTIVE;SENDIT;;;;
PEAB B;SENEA;;;;
PLATZER FASTIGHETER HOLDING B;SIFO;;;;
PLEJD;SILA A CONVERTED-504039;;;;
RATOS B;SKANDIA FORSAKRINGS;;;;
ROKO B;SKULTUNA;;;;
RUSTA;SORB INDUSTRI;;;;
SCANDIC HOTELS GROUP;SPENDRUPS B;;;;
SINCH;STORA 'A';;;;
SKISTAR B;SVENSK VODKA;;;;
STORSKOGEN GROUP B;SVENSKA ORIENT B;;;;
SVEAFASTIGHETER;SVITHOID TANKERS 'B';;;;
SWEDISH LOGISTIC PROPERTY B;SYDKRAFT A;;;;
SYSTEMAIR;SYDOSTINVEST B;;;;
TROAX GROUP;TELELOGIC;;;;
VBG GROUP B;TIVOX 'B';;;;
VIMIAN GROUP;TRYCKINVEST I NORDEN;;;;
VITEC SOFTWARE GROUP B;UNITED TANKERS;;;;
VITROLIFE;VENCAP INDUSTRIER;;;;
WALLENSTAM B;VERIMATION;;;;
ABAS PROTECT;VLT 'B';;;;
AIKE MEDIA B;VOLVO REDEMPTION RIGHTS;;;;
AIXIA GROUP B;WAYFINDER SYSTEMS;;;;
BYHMGARD;WM-DATA NORDIC B;;;;
CERENO SCIENTIFIC B;XPONCARD;;;;
DONE AI GROUP;ZAPP B;;;;
ECOMB 'B';ABB 'B';;;;
EMBEDDEDART GROUP;ABU GARCIA;;;;
FABLE MEDIA GROUP;ACRIMO 'B';;;;
INFRACOM GROUP;ACSC;;;;
INVOICERY GROUP;ALLGON B;;;;
LATVIAN FOREST COMPANY B;ALMEDAHL BF;;;;
MINDARK PE;ALTHIN MEDICAL B;;;;
NORDEN ESTATES;ALTIMA;;;;
OPSY HOLDING;ANCORA ENERGISPAR;;;;
PIXFAM;ANDERS DIOS B;;;;
POLYMER FACTORY SWEDEN;ARETE;;;;
SUBGEN AI;ARITMOS F;;;;
VAXXA;ARTEMA MEDICAL B;;;;
WS WESPORTS GROUP;ARTIKA TIME MDA.GP.B;;;;
AMNODE;ASG 'B';;;;
BUDDYPRO GROUP B;ASG B;;;;
C100;ASTICUS;;;;
COFFEE STAIN GROUP B;AU SYSTEM;;;;
CYCLEZYME;AUTODIAGNOS B;;;;
EDYOUTEC;AUTOFILL;;;;
GOSOL ENERGY GROUP;AVESTA SHEFFIELD;;;;
HUNTER CAPITAL;AXTRADE B CONVERTED INTO 504055;;;;
I LOVE LUND B;BAHCO B;;;;
LANE CAPITAL GROUP B;BALDER FASTIGHETS;;;;
LIGHTNING GROUP;BCP AF;;;;
RAILWAY METRICS AND DYNAMICS;BEIJER CAPITAL;;;;
RANLOS B;BETONBYGG B;;;;
SCANDINAVIAN ASTOR GROUP;BGB I STOCKHOLM;;;;
SOLUTION INTERNATIONAL NORDICS;BILSPEDITION B;;;;
STOCKHOLM TREASURY;BINAR ELEKTRONIK B;;;;
STONEBEACH GROUP;BIP BOTTNIA INTERNET;;;;
THINC COLLECTIVE;BK ELEKTRONIK B;;;;
TINGSVALVET FASTIGHETS A;BOSS MEDIA;;;;
UPGRADE INVEST NORDIC;BROSTROM;;;;
WINDON ENERGY GROUP;BRUKENS NORDIC BF;;;;
ACUCORT;BYGG FAST;;;;
AEROWASH B;CARL LAMM;;;;
AGTIRA B;CASHGUARD 'B';;;;
AINO HEALTH;CASTCOM;;;;
ANOTO GROUP;CEDERROTH NDC.BF;;;;
ARCTIC MINERALS;CELL NETWORK;;;;
AXICHEM A;CENTREST SDR;;;;
B3 CONSULTING GROUP;CISL GRUPPEN;;;;
BACTIGUARD HOLDING B;COMEXCHANGE;;;;
BAHNHOF B;CONNECTA B;;;;
BALCO GROUP;CORONADO B;;;;
BEAMMWAVE B;CYNCRONA B;;;;
BHG GROUP;DIFFCHAMB;;;;
BIOINVENT INTL.;DTG SWEDEN;;;;
BJORN BORG;ECTA RESURS B;;;;
BLICK GLOBAL GROUP;EKEN INV. B CONVERTED-779136;;;;
BONG;EL&INDSMON.SVENSKA;;;;
BOTNIA GOLD;ELDON 'B';;;;
BPC INSTRUMENTS;ENACO;;;;
BREDBAND2 I SKANDINAVIEN;ENATOR (SEE 882247);;;;
BRIGHTBID GROUP;ENTRA DATA;;;;
BRILLIANT FUTURE;EPLAY;;;;
BRINOVA FASTIGHETER B;ESAB BF;;;;
CANTARGIA;EVIDENTIA A;;;;
CATENA MEDIA;EXAB B;;;;
CESSATECH;EXAVE B;;;;
CLIMEON B;EXPORT INVEST A;;;;
CONDO NORDIC HOLDING;FABEGE 'B';;;;
COOR SERVICE MANAGEMENT HOLDING;FERMENTA B;;;;
CORLINE BIOMED;FJALLRAVEN B CONVERTED-504390;;;;
CTT SYSTEMS;FME EU.AKTIEBOLAG 'B';;;;
DBLE.BD.PHARM.INTL. B;FOCAL POINT 'B';;;;
DEXTECH MEDICAL;FORENINGS BKN. A;;;;
DIVIDEND SWEDEN AB;FORSHEDA B;;;;
DIVIO TECHNOLOGIES B;FRANGO 'B';;;;
DLABORATORY SWEDEN;GAMBRO 'B';;;;
EPENDION;GAMERS PARADISE HLDG.'B';;;;
EXSITEC HOLDING;GAMLESTADEN B;;;;
FASADGRUPPEN GROUP;GANT COMPANY;;;;
FASTATOR;GARPH.HESLMN.;;;;
FERRONORDIC;GORTHON INV.;;;;
FLAT CAPITAL B;GOTAGRUPPEN A CONVERTED-539667;;;;
FLERIE;GOTIC 'B';;;;
FLUICELL;GOTLAND REDE. B CONVERTED-504032;;;;
FM MATTSSON B;GRANINGE;;;;
FRAM SKANDINAVIEN B;GRAUTEN OIL BF;;;;
FREETRAILER GROUP;GUIDE KONSULT B;;;;
FSPORT;GULLSPANGS KRT.B;;;;
GABATHER;GYMGROSSISTEN NORDIC;;;;
GARO;HADRONEN F TAKENOVER SEE 505520;;;;
GENOVIS B;HANDSKMAKARN;;;;
GREATER THAN;HAVSFRUN KB F;;;;
GUIDELINE GEO;HOIST INTL. BF;;;;
GULDBREV HOLDING;HOME PROPERTIES;;;;
HANSA BIOPHARMA;HORDA B;;;;
HEXICON;HQ FONDER;;;;
IDL DIAGNOSTICS;HUFVUDSTADEN INTL.;;;;
INSTALCO;IAR SYSTEMS;;;;
INTEGRUM;IM MAKLARNA B;;;;
INTELLEGO TECHNOLOGIES;IMG INDE.MEDIA GP. B;;;;
INTRUM;IMS INTEL.MICRO SYS.;;;;
JUMPGATE;INTENTIA INTL.'B';;;;
K33;INTER INNVNS. B;;;;
KAROLINSKA DEVELOPMENT B;INTRA INTERNATIONAL;;;;
KLARABO SVERIGE B;INVENT MAN BF;;;;
KLARIA PHARMA;INVIK & CO 'B';;;;
KLIMATOR;INWAREHOUSE;;;;
KRONA PUBLIC REAL ESTATE;IQUITY SYSTEMS;;;;
LARKBERGET;IRO;;;;
LOGISTEA A;JACOBSON WIDMK.BU;;;;
MAGLE CHEMOSWED HOLDING;JC;;;;
MAHVIE MINERALS;KALMAR INDUSTRIES;;;;
MANGOLD AB;KAP N;;;;
MAVEN WIRELESS SWEDEN;KARLSHAMNS;;;;
MAVSHACK;KAROLIN INVEST B;;;;
MEKO;KINNEVIK IND. B;;;;
MENDUS;KINNK.IND.FRV. A;;;;
MENTICE;KIPLING HOLDING;;;;
MICRO SYSTEMATION B;KLIPPAN;;;;
MIDSONA B;KRAMO BF;;;;
MINESTO;LEKSELL GOLV B;;;;
MIRIS HOLDING;LIC CARE;;;;
MTI INVESTMENT;LIFCO B;;;;
MYSAFETY GROUP B;LILJEHOLMEN 'B';;;;
NEOVICI HOLDING B;LINJEBUSS 'A';;;;
NEXAM CHEMICAL HOLDING;LODET FASTIGHETS B;;;;
NICOCCINO HOLD;LPI PRECISION 'B';;;;
NIMBUS GROUP;LUDVIKA MINING B;;;;
NORDIC LEVEL GROUP;M2 FASTIGHETER;;;;
NORDISK BERGTEKNIK B;M2S SVERIGE B;;;;
NOVOTEK B;MANDAMUS;;;;
OGUNSEN B;MANDATOR;;;;
ORRON ENERGY;MARTINSSON 'B';;;;
ORTIVUS B;MATTEUS;;;;
OSSDSIGN;MEDICOVER HOLDING SDB;;;;
PEPTONIC MEDICALORD;MEGACON;;;;
PION GROUP B;MERCURIAS;;;;
POLARCOOL;MISS MARY OF SWEDEN;;;;
PRECIO FISHBONE B;MNW RECORDS GROUP B;;;;
PREMIUM SNACKS NORDIC;MOGUL;;;;
PRESERVIUM PROPERTY;MONARK STIGA;;;;
PRICER B;MTIN.ELTN. B;;;;
QBEN INFRA;NACKEBRO;;;;
QBRICK;NARKES ELECTRISKA;;;;
QLEANAIR;NETWISE 'B';;;;
RAMLOSA SHIPPING;NEW UNIBET GROUP SDR;;;;
REDERI GOTLAND B;NK CITY FASTIGHETS;;;;
REJLERS B;NORDBANKEN;;;;
RENEWABLE VENTURES NORDIC;NORDIFAGRUPPEN B;;;;
RESPIRATORIUS;NORDITUBE TECHS.;;;;
RISK INTELLIGENCE;NORRPORTEN;;;;
ROLLING OPTICS HOLDING B;NOVADA;;;;
SAMHALLSBYGGNADSBOL AGET I NORDEN B;NRS TECHNOLOGIES HOLDING;;;;
SCANDI STANDARD;OEM AUTOMATIC B;;;;
SCANDINAVIAN REAL HEART;OMX;;;;
SERVANA;OPTIMA BATTERIES B;;;;
SIVERS SEMICONDUCTORS;OPTIMAIL 'A';;;;
SMOLTEK NANOTECH HOLDING;ORESSUND INV.;;;;
SODER SPORTFISKE;ORREFORS;;;;
SOLID FORSAKRINGSAKTIEBOLAG;OSTERMAN B;;;;
SPAGO NANOMEDICAL;OWELL;;;;
SPILTAN INVEST;PANALARM;;;;
STENDORREN FASTIGHETER B;PARTNERINV F;;;;
STORYTEL B;PAUL ANDERSON FASTIGHETE;;;;
SUSTAINABLE ENERGY SOLUTIONS SWEDEN HOLDING;PEAK PERFORMANCE 'B';;;;
TAGMASTER B;PERBIO SCIENCE;;;;
TANGIAMO TOUCH TECHNOLOGY;PERSTORP B;;;;
TERRANET B;PIREN B;;;;
THUNDERFUL GROUP;PLATZER FTGH. B;;;;
TIME PEOPLE GROUP;PROCORDIA A CONVERTED-779294;;;;
TOLERANZIA;PRONYX;;;;
TRANSFERATOR A;PROTORP FRV.;;;;
UMIDA GROUP B;PROVENTUS B;;;;
VIBROSENSE DYNAMICS B;PULSEN I BORAS B;;;;
VIVESTO;PWT B;;;;
VUXEN GROUP;REALIA;;;;
WASTBYGG GRUPPEN B;REALIA A;;;;
WESTPAY;RECULTURE;;;;
WONDERFUL TIMES GROUP;REGUARD;;;;
XSPRAY PHARMA;RKS B;;;;
YUBICO;RORVIKS GRUPPEN 'B';;;;
ZAPLOX;SALUS ANSVAR 'B';;;;
ZENERGY;SAPA;;;;
ZOOMABILITY INT;SARDUS;;;;
2CUREX;SBT LANDSKRONA 'B';;;;
4C GROUP;SCANDIACONSULT;;;;
AAC CLYDE SPACE;SCANDIAFELT BU CONVERTED INTO 772877;;;;
AB IGRENE;SCANDIC HOTELS;;;;
ABELCO;SCANDINAVIA ONLINE;;;;
ABERA BIOSCIENCE;SECURITAS DIRECT;;;;
ABSOLENT AIR CARE GROUP;SIAB A;;;;
ABSOLICON SOLAR COLLECTOR B;SIBO SHIPPING;;;;
ACARIX;SIFAB;;;;
ACAST;SKANE-GRIPEN A;;;;
ACCONEER;SKOOGS FORETGP.B;;;;
ACENTA GROUP;SKRINET B;;;;
ACOUSORT;SODRA PETROLEUM;;;;
ACRINOVA A;SONG NETWORKS HLDG.;;;;
ACROUD;SPCS SCANDINAVIAN PC SYSTEMS;;;;
ACTIC GROUP;SRAB SHIPPING KVB;;;;
ACTIVE BIOTECH;STADSHYPOTEK 'A';;;;
ACUVI;STENA LINE B;;;;
ADDVISE GROUP A;STRALFORS 'B';;;;
ADTRACTION GROUP;SVEDALA INDUSTRIER;;;;
ADVENICA;SVEN.KREDTFOR. F;;;;
ADVERTY;SVENSK FASTIGHETSFOND;;;;
AFRICA RESOURCES;SVENSKA BRAND;;;;
AGES INDUSTRI B;SVENSKA KAOLIN;;;;
AIK FOTBOLL B;SWEDMACH B;;;;
ALCADON GROUP;SWEDSPAN INDR. B;;;;
ALLIGATOR BIOSCI;SWEGON B;;;;
ALLIGO B;SYDSVKA.DAGB. BF;;;;
ALM EQUITY;SYNECTICS MEDICAL B;;;;
ALPCOT HOLDING B;SYNGENTA AZ (OME);;;;
ALZECURE PHARMA;SYRICO;;;;
ALZINOVA;TARGET INVESTMENT B;;;;
AMARON COMMERCIAL PROPERTIES B;TELECA 'B';;;;
AMHULT 2 B;TELIGENT;;;;
AMIDO;TERRA MINING;;;;
ANGLER GAMING;TMG INTERNATIONAL;;;;
ANNEHEM FASTIGHETER B;TORNET FASTIGHETS 'B';;;;
ANNEXIN PHARMACEUTICALS;TPC SECURITY B;;;;
APOTEA;TRANSLINK VARA B;;;;
APTAHEM;TRIO INFO.SYSTEMS;;;;
AQUATICUS REAL ESTATE;TRITEL MEDIA;;;;
ARBONA A;TRYGG-HANSA 'B';;;;
ARCHELON NATURAL RESOURCES B;TURNIT 'B';;;;
ARCOMA;UTFORS;;;;
ARCTIC BLUE BEVERAGES;VBB 'A';;;;
ARCTIC FALLS;VIDE INVEST;;;;
ARGO DEFENCE GROUP;VISION PARK;;;;
ARISE;WM-DATA 'B';;;;
ARLA PLAST;ZETECO B;;;;
ARLANDASTAD GROUP;ZEUNERTS B;;;;
ASCELIA PHARMA;ZODIAK TELEVISION 'B';;;;
ATHANASE INNOVATION;NORDIQ GOTEBORG;;;;
ATTANA;FASTILIUM;;;;
AVSALT GROUP;FORSSTROM HIGH FREQ.;;;;
AVTECH SWEDEN B;1618 STRICT B SHARE;;;;
AXOLOT SOLUTIONS HOLDING;24STORAGE;;;;
BAMBUSER;5050 POKER HLDG;;;;
BAWAT WATER TECHNOLOGIES;ACADEMEDIA 'B';;;;
BE GROUP;ACOSENSE;;;;
BERNER INDUSTRIER B;ADAPTEO;;;;
BESQAB;ADCITYMEDIA;;;;
BETTER COLLECTIVE;ADDERACARE;;;;
BEYOND FRAMES ENTERTAINMENT;ADOPERATOR;;;;
BIBBINSTRUMENTS;ADTAIL;;;;
BICO GROUP B;AFFARSSTRATEGERNA 'B';;;;
BIMOBJECT;AGROKULTURA;;;;
BINERO GROUP;ALIGERA;;;;
BIO VITOS PHARMA;ALLOKTON 'B';;;;
BIO-WORKS TECHNOLOGIES;ANNEHEM FASTIGHETER;;;;
BIOEXTRAX;ATVEXA;;;;
BIOFRIGAS SWEDEN;AUDIENTES;;;;
BIOSERGEN;AUDIODEV 'B';;;;
BIOVICA INTERNATIONAL;AVONOVA SVERIGE;;;;
BLUELAKE MINERAL;AXKID;;;;
BLUEYIELD;AXLON GROUP;;;;
BOKUSGRUPPEN;BALLINGSLOV INTL.;;;;
BOMILL;BESTIN PPKD.SER.SFTW.'B';;;;
BONASUDDEN;BIOLIN SCIENTIFIC;;;;
BONAVA B;BIOPHAUSIA 'A';;;;
BOOZT;BM IMPEX;;;;
BOULE DIAGNOSTICS;BOSJO FASTIGHETER;;;;
BRAINCOOL;BRANDWORLD SVERIGE;;;;
BRIOX;BRAVIKEN LOGISTIK;;;;
BROCK MILTON CAPITAL;BRIGHTER;;;;
BTS GROUP B;CAPERIO HOLDING;;;;
BULTEN;CARL LAMM HOLDING;;;;
BYGGMAX GROUP;CARY GROUP HOLDING;;;;
BYGGPARTNER GRUPPEN;CATECH 'B';;;;
C-RAD B;CATERING PLEASE;;;;
CAG GROUP;D CARNEGIE & CO;;;;
CALVIKS;DACKE GROUP NORDIC;;;;
CANDLES SCANDINAVIA B;DALSSPIRA MEJERI;;;;
CARASENT;DELARKA HOLDING;;;;
CARDEON B;DEVICOM;;;;
CAREIUM;DIGNITA SYSTEMS;;;;
CASE GROUP;DIN BOSTAD SVERIGE;;;;
CATELLA B;ECO WAVE POWER GLOBAL;;;;
CAVOTEC GROUP;EDI COMPANY 'B';;;;
CDON AB;EKOMARINE;;;;
CEDERGRENSKA;ELEKTRONIKGRUPPEN BK 'B';;;;
